size,d,tw,bf,tf
W18x119,19,0.625,11.25,1.0625
W18x106,18.75,0.5625,11.25,0.9375
W18x97,18.625,0.5625,11.125,0.875
W18x86,18.375,0.5,11.125,0.75
W18x76,18.25,0.4375,11,0.6875
W18x71,18.5,0.5,7.625,0.8125
W18x65,18.375,0.4375,7.625,0.75
W18x60,18.25,0.4375,7.5,0.6875
W18x55,18.125,0.375,7.5,0.625
W18x50,18,0.375,7.5,0.5625
W18x46,18,0.375,6,0.625
W18x40,17.875,0.3125,6,0.5
W18x35,17.75,0.3125,6,0.4375
W16x100,17,0.5625,10.375,1
W16x89,16.75,0.5,10.375,0.875
W16x77,16.5,0.4375,10.25,0.75
W16x67,16.375,0.375,10.25,0.6875
W16x57,16.375,0.4375,7.125,0.6875
W16x50,16.25,0.375,7.125,0.625
W16x45,16.125,0.375,7,0.5625
W16x40,16,0.3125,7,0.5
W16x36,15.875,0.3125,7,0.4375
W16x31,15.875,0.25,5.5,0.4375
W16x26,15.75,0.25,5.5,0.375
W14x730,22.375,3.0625,17.875,4.9375
W14x665,21.625,2.8125,17.625,4.5
W14x605,20.875,2.625,17.375,4.1875
W14x550,20.25,2.375,17.25,3.8125
W14x500,19.625,2.1875,17,3.5
W14x455,19,2,16.875,3.1875
W14x426,18.625,1.875,16.75,3.0625
W14x398,18.25,1.75,16.625,2.875
W14x370,17.875,1.625,16.5,2.6875
W14x342,17.5,1.5625,16.375,2.5
W14x311,17.125,1.4375,16.25,2.25
W14x283,16.75,1.3125,16.125,2.0625
W14x257,16.375,1.1875,16,1.875
W14x233,16,1.0625,15.875,1.75
W14x211,15.75,1,15.75,1.5625
W14x193,15.5,0.875,15.75,1.4375
W14x176,15.25,0.8125,15.625,1.3125
W14x159,15,0.75,15.625,1.1875
W14x145,14.75,0.6875,15.5,1.0625
W14x132,14.625,0.625,14.75,1
W14x120,14.5,0.5625,14.625,0.9375
W14x109,14.375,0.5,14.625,0.875
W14x99,14.125,0.5,14.625,0.75
W14x90,14,0.4375,14.5,0.6875
W14x82,14.25,0.5,10.125,0.875
W14x74,14.125,0.4375,10.125,0.8125
W14x68,14,0.4375,10,0.75
W14x61,13.875,0.375,10,0.625
W14x53,13.875,0.375,8,0.6875
W14x48,13.75,0.3125,8,0.625
W14x43,13.625,0.3125,8,0.5
W14x38,14.125,0.3125,6.75,0.5
W14x34,14,0.3125,6.75,0.4375
W14x30,13.875,0.25,6.75,0.375
W14x26,13.875,0.25,5,0.4375
W14x22,13.75,0.25,5,0.3125
W12x336,16.875,1.75,13.375,2.9375
W12x305,16.375,1.625,13.25,2.6875
W12x279,15.875,1.5,13.125,2.5
W12x252,15.375,1.375,13,2.25
W12x230,15,1.3125,12.875,2.0625
W12x210,14.75,1.1875,12.75,1.875
W12x190,14.375,1.0625,12.625,1.75
W12x170,14,0.9375,12.625,1.5625
W12x152,13.75,0.875,12.5,1.375
W12x136,13.375,0.8125,12.375,1.25
W12x120,13.125,0.6875,12.375,1.125
W12x106,12.875,0.625,12.25,1
W12x96,12.75,0.5625,12.125,0.875
W12x87,12.5,0.5,12.125,0.8125
W12x79,12.375,0.5,12.125,0.75
W12x72,12.25,0.4375,12,0.6875
W12x65,12.125,0.375,12,0.625
W12x58,12.25,0.375,10,0.625
W12x53,12,0.375,10,0.5625
W12x50,12.25,0.375,8.125,0.625
W12x45,12,0.3125,8,0.5625
W12x40,12,0.3125,8,0.5
W12x35,12.5,0.3125,6.5,0.5
W12x30,12.375,0.25,6.5,0.4375
W12x26,12.25,0.25,6.5,0.375
W12x22,12.25,0.25,4,0.4375
W12x19,12.125,0.25,4,0.375
W12x16,12,0.25,4,0.25
W12x14,11.875,0.1875,4,0.25
W10x112,11.375,0.75,10.375,1.25
W10x100,11.125,0.6875,10.375,1.125
W10x88,10.875,0.625,10.25,1
W10x77,10.625,0.5,10.25,0.875
W10x68,10.375,0.5,10.125,0.75
W10x60,10.25,0.4375,10.125,0.6875
W10x54,10.125,0.375,10,0.625
W10x49,10,0.3125,10,0.5625
W10x45,10.125,0.375,8,0.625
W10x39,9.875,0.3125,8,0.5
W10x33,9.75,0.3125,8,0.4375
W10x30,10.5,0.3125,5.75,0.5
W10x26,10.375,0.25,5.75,0.4375
W10x22,10.125,0.25,5.75,0.375
W10x19,10.25,0.25,4,0.375
W10x17,10.125,0.25,4,0.3125
W10x15,10,0.25,4,0.25
W10x12,9.875,0.1875,4,0.1875
W8x67,9,0.5625,8.25,0.9375
W8x58,8.75,0.5,8.25,0.8125
W8x48,8.5,0.375,8.125,0.6875
W8x40,8.25,0.375,8.125,0.5625
W8x35,8.125,0.3125,8,0.5
W8x31,8,0.3125,8,0.4375
W8x28,8,0.3125,6.5,0.4375
W8x24,7.875,0.25,6.5,0.375
W8x21,8.25,0.25,5.25,0.375
W8x18,8.125,0.25,5.25,0.3125
W8x15,8.125,0.25,4,0.3125
W8x13,8,0.25,4,0.25
W8x10,7.875,0.1875,4,0.1875
W6x25,6.375,0.3125,6.125,0.4375
W6x20,6.25,0.25,6,0.375
W6x15,6,0.25,6,0.25
W6x16,6.25,0.25,4,0.375
W6x12,6,0.25,4,0.25
W6x9,5.875,0.1875,4,0.1875
W5x19,5.125,0.25,5,0.4375
W5x16,5,0.25,5,0.375
W4x13,4.125,0.25,4,0.375
